procent zakazanych ruchów [%];modyfikator kadencji (1-100);aspiracja plus;aspiracja plus plus;liczba iteracji;najlepszy koszt cyklu Hamiltona;najlepszy koszt
0,1;1;10;3;62;7211,684;12818,033
0,1;1;10;5;48;7256,219;12089,058
0,1;1;10;10;115;7052,809;12506,65
0,1;1;100;3;37;7311,94;13197,932
0,1;1;100;5;57;7193,104;13041,652
0,1;1;100;10;108;7052,809;12506,65
0,1;1;2000;3;23;7296,736;13188,1
0,1;1;2000;5;29;7142,115;12793,37
0,1;1;2000;10;75;7124,288;13451,192
0,1;10;10;3;44;7271,456;13233,787
0,1;10;10;5;68;7052,809;12506,65
0,1;10;10;10;99;7124,288;13451,192
0,1;10;100;3;40;7296,736;13188,1
0,1;10;100;5;49;7130,7;13127,904
0,1;10;100;10;105;7052,809;12506,65
0,1;10;2000;3;34;7270,338;14301,03
0,1;10;2000;5;60;7052,809;12506,65
0,1;10;2000;10;72;7095,635;12868,937
0,1;100;10;3;33;7242,964;12859,957
0,1;100;10;5;63;7052,809;12506,65
0,1;100;10;10;91;6868,083;12474,292
0,1;100;100;3;35;7136,223;12181,05
0,1;100;100;5;59;7130,7;13127,904
0,1;100;100;10;131;7095,635;12868,937
0,1;100;2000;3;40;7251,378;13203,178
0,1;100;2000;5;49;6945,726;13019,3
0,1;100;2000;10;121;7052,809;12506,65
1,0;1;10;3;30;7239,475;13405,811
1,0;1;10;5;82;7095,635;12868,937
1,0;1;10;10;166;7029,326;13658,328
1,0;1;100;3;51;7130,7;13127,904
1,0;1;100;5;57;7124,288;13451,192
1,0;1;100;10;102;7029,326;13658,328
1,0;1;2000;3;25;7296,736;13188,1
1,0;1;2000;5;54;7142,115;12793,37
1,0;1;2000;10;87;7124,288;13451,192
1,0;10;10;3;62;7082,789;13436,201
1,0;10;10;5;72;7029,326;13658,328
1,0;10;10;10;77;7130,7;13127,904
1,0;10;100;3;53;7199,773;12711,232
1,0;10;100;5;109;7124,288;13451,192
1,0;10;100;10;65;7216,899;13472,39
1,0;10;2000;3;25;7396,624;13502,52
1,0;10;2000;5;91;7052,809;12506,65
1,0;10;2000;10;78;7095,635;12868,937
1,0;100;10;3;40;7124,288;13451,192
1,0;100;10;5;82;7271,456;13233,787
1,0;100;10;10;78;7124,288;13451,192
1,0;100;100;3;73;7193,104;13041,652
1,0;100;100;5;107;7056,863;12811,994
1,0;100;100;10;76;6945,726;13019,3
1,0;100;2000;3;29;7427,049;12777,532
1,0;100;2000;5;51;7239,475;13405,811
1,0;100;2000;10;86;7029,326;13658,328
10,0;1;10;3;20;7192,695;14110,751
10,0;1;10;5;72;7052,809;12506,65
10,0;1;10;10;176;7029,326;13658,328
10,0;1;100;3;45;7130,7;13127,904
10,0;1;100;5;72;7203,878;13520,879
10,0;1;100;10;69;7056,863;12811,994
10,0;1;2000;3;63;6945,726;13019,3
10,0;1;2000;5;65;6945,726;13019,3
10,0;1;2000;10;90;7241,365;13368,403
10,0;10;10;3;31;6868,083;12474,292
10,0;10;10;5;73;7124,288;13451,192
10,0;10;10;10;127;7056,863;12811,994
10,0;10;100;3;39;7211,684;12818,033
10,0;10;100;5;50;7136,223;12181,05
10,0;10;100;10;76;7082,789;13436,201
10,0;10;2000;3;30;7190,463;13184,949
10,0;10;2000;5;45;7124,288;13451,192
10,0;10;2000;10;103;6945,726;13019,3
10,0;100;10;3;32;7312,6;13198,094
10,0;100;10;5;95;7029,326;13658,328
10,0;100;10;10;171;7142,115;12793,37
10,0;100;100;3;37;7270,338;14301,03
10,0;100;100;5;96;7136,223;12181,05
10,0;100;100;10;117;7029,326;13658,328
10,0;100;2000;3;26;7029,326;13658,328
10,0;100;2000;5;54;7095,635;12868,937
10,0;100;2000;10;170;7130,7;13127,904
