procent zakazanych ruchów [%];modyfikator kadencji (1-100);aspiracja plus;aspiracja plus plus;liczba iteracji;najlepszy koszt cyklu Hamiltona;najlepszy koszt
0,1;1;10;3;36;7136,223;12181,05
0,1;1;10;5;105;7142,115;12793,37
0,1;1;10;10;79;7192,695;14110,751
0,1;1;100;3;21;7271,456;13233,787
0,1;1;100;5;69;6945,726;13019,3
0,1;1;100;10;110;7136,223;12181,05
0,1;1;2000;3;38;7082,789;13436,201
0,1;1;2000;5;85;7239,475;13405,811
0,1;1;2000;10;137;7136,223;12181,05
0,1;10;10;3;33;7136,223;12181,05
0,1;10;10;5;55;7056,863;12811,994
0,1;10;10;10;141;7082,789;13436,201
0,1;10;100;3;18;7095,635;12868,937
0,1;10;100;5;36;7270,338;14301,03
0,1;10;100;10;102;7052,809;12506,65
0,1;10;2000;3;65;6945,726;13019,3
0,1;10;2000;5;113;7095,635;12868,937
0,1;10;2000;10;165;7082,789;13436,201
0,1;100;10;3;55;7082,789;13436,201
0,1;100;10;5;99;7052,809;12506,65
0,1;100;10;10;171;7124,288;13451,192
0,1;100;100;3;43;7095,635;12868,937
0,1;100;100;5;104;6945,726;13019,3
0,1;100;100;10;77;7029,326;13658,328
0,1;100;2000;3;26;7547,512;12438,276
0,1;100;2000;5;72;7056,863;12811,994
0,1;100;2000;10;130;7056,863;12811,994
1,0;1;10;3;40;7312,6;13198,094
1,0;1;10;5;57;7329,503;13225,189
1,0;1;10;10;138;7136,223;12181,05
1,0;1;100;3;57;7029,326;13658,328
1,0;1;100;5;37;7329,503;13225,189
1,0;1;100;10;77;7029,326;13658,328
1,0;1;2000;3;35;7082,789;13436,201
1,0;1;2000;5;111;7052,809;12506,65
1,0;1;2000;10;180;6945,726;13019,3
1,0;10;10;3;38;6868,083;12474,292
1,0;10;10;5;71;7142,115;12793,37
1,0;10;10;10;98;6868,083;12474,292
1,0;10;100;3;37;7142,115;12793,37
1,0;10;100;5;65;6945,726;13019,3
1,0;10;100;10;82;7142,115;12793,37
1,0;10;2000;3;42;7199,773;12711,232
1,0;10;2000;5;44;7052,809;12506,65
1,0;10;2000;10;61;7029,326;13658,328
1,0;100;10;3;32;7130,7;13127,904
1,0;100;10;5;60;6868,083;12474,292
1,0;100;10;10;94;7124,288;13451,192
1,0;100;100;3;53;7246,223;12534,951
1,0;100;100;5;59;7029,326;13658,328
1,0;100;100;10;143;6945,726;13019,3
1,0;100;2000;3;22;7312,6;13198,094
1,0;100;2000;5;34;7029,326;13658,328
1,0;100;2000;10;112;7056,863;12811,994
10,0;1;10;3;32;7056,863;12811,994
10,0;1;10;5;52;7082,789;13436,201
10,0;1;10;10;184;7029,326;13658,328
10,0;1;100;3;54;7029,326;13658,328
10,0;1;100;5;43;6945,726;13019,3
10,0;1;100;10;63;7029,326;13658,328
10,0;1;2000;3;21;7142,115;12793,37
10,0;1;2000;5;109;7130,7;13127,904
10,0;1;2000;10;137;7052,809;12506,65
10,0;10;10;3;19;7056,863;12811,994
10,0;10;10;5;67;7312,6;13198,094
10,0;10;10;10;106;7095,635;12868,937
10,0;10;100;3;26;7052,809;12506,65
10,0;10;100;5;54;7029,326;13658,328
10,0;10;100;10;105;7082,789;13436,201
10,0;10;2000;3;35;7095,635;12868,937
10,0;10;2000;5;54;7029,326;13658,328
10,0;10;2000;10;73;7095,635;12868,937
10,0;100;10;3;67;7193,104;13041,652
10,0;100;10;5;89;7246,223;12534,951
10,0;100;10;10;102;7201,999;14082,621
10,0;100;100;3;58;7190,463;13184,949
10,0;100;100;5;93;7130,7;13127,904
10,0;100;100;10;141;7216,899;13472,39
10,0;100;2000;3;90;7056,863;12811,994
10,0;100;2000;5;98;7082,789;13436,201
10,0;100;2000;10;118;7082,789;13436,201
