procent zakazanych ruchów [%];modyfikator kadencji (1-100);aspiracja plus;aspiracja plus plus;liczba iteracji;najlepszy koszt cyklu Hamiltona;najlepszy koszt
0,1;1;10;3;96;5621,553;10832,828
0,1;1;10;5;173;5554,422;11583,51
0,1;1;10;10;356;5637,881;9866,796
0,1;1;100;3;94;5635,571;9845,199
0,1;1;100;5;156;5366,281;11360,992
0,1;1;100;10;351;5350,515;11367,421
0,1;1;2000;3;42;5771,364;10589,495
0,1;1;2000;5;169;5382,313;11400,8
0,1;1;2000;10;344;5350,515;11367,421
0,1;10;10;3;81;5584,605;9824,011
0,1;10;10;5;96;5741,161;10443,548
0,1;10;10;10;312;5350,515;11367,421
0,1;10;100;3;80;5366,281;11360,992
0,1;10;100;5;128;5438,407;11373,471
0,1;10;100;10;239;5366,281;11360,992
0,1;10;2000;3;45;5366,281;11360,992
0,1;10;2000;5;180;5288,071;10999,858
0,1;10;2000;10;154;5584,605;9824,011
0,1;100;10;3;68;5458,456;11350,124
0,1;100;10;5;148;5554,422;11583,51
0,1;100;10;10;168;5621,553;10832,828
0,1;100;100;3;61;5438,407;11373,471
0,1;100;100;5;87;5622,208;10838,757
0,1;100;100;10;149;5282,702;11393,833
0,1;100;2000;3;101;5288,071;10999,858
0,1;100;2000;5;119;5397,866;11329,161
0,1;100;2000;10;231;5304,863;11415,994
1,0;1;10;3;89;5621,553;10832,828
1,0;1;10;5;72;5741,161;10443,548
1,0;1;10;10;544;5458,456;11350,124
1,0;1;100;3;49;5713,359;11370,126
1,0;1;100;5;214;5282,702;11393,833
1,0;1;100;10;152;5366,281;11360,992
1,0;1;2000;3;60;5701,926;10520,972
1,0;1;2000;5;160;5304,863;11415,994
1,0;1;2000;10;464;5304,863;11415,994
1,0;10;10;3;94;5682,518;9869,489
1,0;10;10;5;93;5397,866;11329,161
1,0;10;10;10;224;5366,281;11360,992
1,0;10;100;3;101;5350,515;11367,421
1,0;10;100;5;96;5713,359;11370,126
1,0;10;100;10;133;5382,313;11400,8
1,0;10;2000;3;50;5795,794;10842,148
1,0;10;2000;5;129;5637,881;9866,796
1,0;10;2000;10;185;5397,866;11329,161
1,0;100;10;3;47;5785,308;10623,329
1,0;100;10;5;85;5584,605;9824,011
1,0;100;10;10;253;5596,435;10780,647
1,0;100;100;3;59;5468,657;11410,09
1,0;100;100;5;95;5438,407;11373,471
1,0;100;100;10;278;5350,515;11367,421
1,0;100;2000;3;51;5796,318;10607,95
1,0;100;2000;5;116;5366,281;11360,992
1,0;100;2000;10;201;5366,281;11360,992
10,0;1;10;3;68;5458,456;11350,124
10,0;1;10;5;78;5397,866;11329,161
10,0;1;10;10;240;5366,281;11360,992
10,0;1;100;3;103;5350,515;11367,421
10,0;1;100;5;173;5350,515;11367,421
10,0;1;100;10;438;5265,91;10977,697
10,0;1;2000;3;62;5366,281;11360,992
10,0;1;2000;5;213;5304,863;11415,994
10,0;1;2000;10;190;5350,515;11367,421
10,0;10;10;3;103;5621,553;10832,828
10,0;10;10;5;117;5554,422;11583,51
10,0;10;10;10;230;5282,702;11393,833
10,0;10;100;3;51;5722,325;10729,444
10,0;10;100;5;135;5382,313;11400,8
10,0;10;100;10;300;5282,702;11393,833
10,0;10;2000;3;98;5749,121;10419,324
10,0;10;2000;5;101;5304,863;11415,994
10,0;10;2000;10;152;5366,281;11360,992
10,0;100;10;3;59;5366,281;11360,992
10,0;100;10;5;111;5282,702;11393,833
10,0;100;10;10;200;5468,657;11410,09
10,0;100;100;3;100;5658,015;10885,828
10,0;100;100;5;99;5468,657;11410,09
10,0;100;100;10;178;5438,407;11373,471
10,0;100;2000;3;73;5713,359;11370,126
10,0;100;2000;5;151;5397,866;11329,161
10,0;100;2000;10;269;5350,515;11367,421
