procent zakazanych ruchów [%];modyfikator kadencji (1-100);aspiracja plus;aspiracja plus plus;liczba iteracji;najlepszy koszt cyklu Hamiltona;najlepszy koszt
0,1;1;10;3;63;7271,456;13233,787
0,1;1;10;5;53;7193,104;13041,652
0,1;1;10;10;87;7136,223;12181,05
0,1;1;100;3;72;7052,809;12506,65
0,1;1;100;5;75;7029,326;13658,328
0,1;1;100;10;89;7052,809;12506,65
0,1;1;2000;3;46;7029,326;13658,328
0,1;1;2000;5;30;6945,726;13019,3
0,1;1;2000;10;123;7095,635;12868,937
0,1;10;10;3;49;7296,736;13188,1
0,1;10;10;5;102;7029,326;13658,328
0,1;10;10;10;104;7142,115;12793,37
0,1;10;100;3;31;7052,809;12506,65
0,1;10;100;5;40;7130,7;13127,904
0,1;10;100;10;178;7056,863;12811,994
0,1;10;2000;3;54;7142,115;12793,37
0,1;10;2000;5;46;7312,6;13198,094
0,1;10;2000;10;112;7056,863;12811,994
0,1;100;10;3;27;7192,695;14110,751
0,1;100;10;5;51;7056,863;12811,994
0,1;100;10;10;76;7082,789;13436,201
0,1;100;100;3;52;7095,635;12868,937
0,1;100;100;5;89;7124,288;13451,192
0,1;100;100;10;137;7052,809;12506,65
0,1;100;2000;3;39;7052,809;12506,65
0,1;100;2000;5;100;7029,326;13658,328
0,1;100;2000;10;128;6945,726;13019,3
1;1;10;3;81;7124,288;13451,192
1;1;10;5;49;6868,083;12474,292
1;1;10;10;112;7029,326;13658,328
1;1;100;3;21;7241,365;13368,403
1;1;100;5;107;7216,899;13472,39
1;1;100;10;68;6945,726;13019,3
1;1;2000;3;25;7056,863;12811,994
1;1;2000;5;75;7230,313;13139,337
1;1;2000;10;68;7029,326;13658,328
1;10;10;3;35;7310,457;13245,189
1;10;10;5;44;7136,223;12181,05
1;10;10;10;93;7342,235;13299,175
1;10;100;3;27;7203,878;13520,879
1;10;100;5;62;7203,878;13520,879
1;10;100;10;94;7029,326;13658,328
1;10;2000;3;35;7312,6;13198,094
1;10;2000;5;51;7251,378;13203,178
1;10;2000;10;103;7142,115;12793,37
1;100;10;3;59;7082,789;13436,201
1;100;10;5;75;7203,878;13520,879
1;100;10;10;79;7056,863;12811,994
1;100;100;3;26;7341,499;14228,109
1;100;100;5;54;7227,49;12388,573
1;100;100;10;75;7095,635;12868,937
1;100;2000;3;46;7279,641;14272,9
1;100;2000;5;46;7142,115;12793,37
1;100;2000;10;110;7095,635;12868,937
10;1;10;3;40;7130,7;13127,904
10;1;10;5;48;7311,521;13363,292
10;1;10;10;180;6868,083;12474,292
10;1;100;3;47;7367,162;13337,885
10;1;100;5;129;7052,809;12506,65
10;1;100;10;80;7095,635;12868,937
10;1;2000;3;30;7246,223;12534,951
10;1;2000;5;52;7130,7;13127,904
10;1;2000;10;103;7241,365;13368,403
10;10;10;3;23;7271,456;13233,787
10;10;10;5;109;7052,809;12506,65
10;10;10;10;245;7124,288;13451,192
10;10;100;3;28;7130,7;13127,904
10;10;100;5;62;7423,98;13438,317
10;10;100;10;218;7052,809;12506,65
10;10;2000;3;35;7136,223;12181,05
10;10;2000;5;44;7211,684;12818,033
10;10;2000;10;66;7056,863;12811,994
10;100;10;3;41;7230,313;13139,337
10;100;10;5;57;7142,115;12793,37
10;100;10;10;128;6868,083;12474,292
10;100;100;3;34;7095,635;12868,937
10;100;100;5;41;7396,624;13502,52
10;100;100;10;129;7056,863;12811,994
10;100;2000;3;49;6945,726;13019,3
10;100;2000;5;40;7270,338;14301,03
10;100;2000;10;110;7190,463;13184,949
