procent zakazanych ruchów [%];modyfikator kadencji (1-100);aspiracja plus;aspiracja plus plus;liczba iteracji;najlepszy koszt cyklu Hamiltona;najlepszy koszt
0,1;1;10;3;80;6868,083;12474,292
0,1;1;10;5;38;7052,809;12506,65
0,1;1;10;10;156;7095,635;12868,937
0,1;1;100;3;47;7095,635;12868,937
0,1;1;100;5;76;7190,463;13184,949
0,1;1;100;10;115;7124,288;13451,192
0,1;1;2000;3;51;7190,463;13184,949
0,1;1;2000;5;34;7199,773;12711,232
0,1;1;2000;10;140;7273,961;13347,632
0,1;10;10;3;43;7203,878;13520,879
0,1;10;10;5;40;7052,809;12506,65
0,1;10;10;10;78;7056,863;12811,994
0,1;10;100;3;29;7230,313;13139,337
0,1;10;100;5;108;7124,288;13451,192
0,1;10;100;10;117;7190,463;13184,949
0,1;10;2000;3;27;7558,422;12446,796
0,1;10;2000;5;63;7199,773;12711,232
0,1;10;2000;10;135;7029,326;13658,328
0,1;100;10;3;29;7056,863;12811,994
0,1;100;10;5;71;7211,684;12818,033
0,1;100;10;10;129;7056,863;12811,994
0,1;100;100;3;28;7241,365;13368,403
0,1;100;100;5;48;6945,726;13019,3
0,1;100;100;10;99;7203,878;13520,879
0,1;100;2000;3;60;7136,223;12181,05
0,1;100;2000;5;64;7095,635;12868,937
0,1;100;2000;10;152;7203,878;13520,879
1,0;1;10;3;68;7271,456;13233,787
1,0;1;10;5;100;7130,7;13127,904
1,0;1;10;10;121;7056,863;12811,994
1,0;1;100;3;57;6945,726;13019,3
1,0;1;100;5;32;7142,115;12793,37
1,0;1;100;10;151;7082,789;13436,201
1,0;1;2000;3;71;7124,288;13451,192
1,0;1;2000;5;70;7239,475;13405,811
1,0;1;2000;10;67;7082,789;13436,201
1,0;10;10;3;42;7052,809;12506,65
1,0;10;10;5;69;7192,695;14110,751
1,0;10;10;10;85;7056,863;12811,994
1,0;10;100;3;38;6945,726;13019,3
1,0;10;100;5;54;7056,863;12811,994
1,0;10;100;10;55;7246,223;12534,951
1,0;10;2000;3;18;7056,863;12811,994
1,0;10;2000;5;54;6945,726;13019,3
1,0;10;2000;10;153;7056,863;12811,994
1,0;100;10;3;60;7300,695;13070,098
1,0;100;10;5;52;7192,695;14110,751
1,0;100;10;10;129;6868,083;12474,292
1,0;100;100;3;37;7130,7;13127,904
1,0;100;100;5;37;7203,878;13520,879
1,0;100;100;10;150;6945,726;13019,3
1,0;100;2000;3;27;7056,863;12811,994
1,0;100;2000;5;66;7190,463;13184,949
1,0;100;2000;10;80;6945,726;13019,3
10,0;1;10;3;34;7312,6;13198,094
10,0;1;10;5;67;7136,223;12181,05
10,0;1;10;10;124;7056,863;12811,994
10,0;1;100;3;32;7203,878;13520,879
10,0;1;100;5;167;7029,326;13658,328
10,0;1;100;10;90;7227,49;12388,573
10,0;1;2000;3;23;7203,878;13520,879
10,0;1;2000;5;71;7124,288;13451,192
10,0;1;2000;10;140;6945,726;13019,3
10,0;10;10;3;33;7381,96;12877,045
10,0;10;10;5;54;7136,223;12181,05
10,0;10;10;10;141;7130,7;13127,904
10,0;10;100;3;16;6945,726;13019,3
10,0;10;100;5;68;7095,635;12868,937
10,0;10;100;10;140;6945,726;13019,3
10,0;10;2000;3;41;7211,684;12818,033
10,0;10;2000;5;60;7029,326;13658,328
10,0;10;2000;10;94;7056,863;12811,994
10,0;100;10;3;23;7082,789;13436,201
10,0;100;10;5;29;7052,809;12506,65
10,0;100;10;10;167;7124,288;13451,192
10,0;100;100;3;55;7095,635;12868,937
10,0;100;100;5;54;7246,223;12534,951
10,0;100;100;10;138;7124,288;13451,192
10,0;100;2000;3;45;7082,789;13436,201
10,0;100;2000;5;81;7082,789;13436,201
10,0;100;2000;10;131;7199,773;12711,232
