procent zakazanych ruchów [%];modyfikator kadencji (1-100);aspiracja plus;aspiracja plus plus;liczba iteracji;najlepszy koszt cyklu Hamiltona;najlepszy koszt
0,1;1;10;3;61;5282,702;11393,833
0,1;1;10;5;122;5350,515;11367,421
0,1;1;10;10;493;5458,456;11350,124
0,1;1;100;3;59;5811,613;10710,183
0,1;1;100;5;77;5468,657;11410,09
0,1;1;100;10;316;5366,281;11360,992
0,1;1;2000;3;120;5288,071;10999,858
0,1;1;2000;5;121;5350,515;11367,421
0,1;1;2000;10;168;5304,863;11415,994
0,1;10;10;3;56;5366,281;11360,992
0,1;10;10;5;129;5366,281;11360,992
0,1;10;10;10;175;5637,881;9866,796
0,1;10;100;3;67;5438,407;11373,471
0,1;10;100;5;198;5397,866;11329,161
0,1;10;100;10;272;5366,281;11360,992
0,1;10;2000;3;51;5622,208;10838,757
0,1;10;2000;5;208;5366,281;11360,992
0,1;10;2000;10;200;5288,071;10999,858
0,1;100;10;3;64;5265,91;10977,697
0,1;100;10;5;142;5350,515;11367,421
0,1;100;10;10;260;5282,702;11393,833
0,1;100;100;3;65;5366,281;11360,992
0,1;100;100;5;225;5471,819;11366,121
0,1;100;100;10;150;5438,407;11373,471
0,1;100;2000;3;140;5288,071;10999,858
0,1;100;2000;5;127;5471,819;11366,121
0,1;100;2000;10;307;5366,281;11360,992
1,0;1;10;3;86;5458,456;11350,124
1,0;1;10;5;94;5699,531;10901,188
1,0;1;10;10;184;5350,515;11367,421
1,0;1;100;3;150;5366,281;11360,992
1,0;1;100;5;249;5397,866;11329,161
1,0;1;100;10;151;5471,819;11366,121
1,0;1;2000;3;90;5382,313;11400,8
1,0;1;2000;5;154;5397,866;11329,161
1,0;1;2000;10;334;5350,515;11367,421
1,0;10;10;3;80;5741,161;10443,548
1,0;10;10;5;177;5468,657;11410,09
1,0;10;10;10;313;5393,797;11412,283
1,0;10;100;3;83;5350,515;11367,421
1,0;10;100;5;186;5366,281;11360,992
1,0;10;100;10;220;5350,515;11367,421
1,0;10;2000;3;53;5829,098;10510,851
1,0;10;2000;5;98;5366,281;11360,992
1,0;10;2000;10;324;5438,407;11373,471
1,0;100;10;3;53;5366,281;11360,992
1,0;100;10;5;87;5691,991;10919,805
1,0;100;10;10;329;5265,91;10977,697
1,0;100;100;3;79;5622,208;10838,757
1,0;100;100;5;109;5397,866;11329,161
1,0;100;100;10;154;5468,657;11410,09
1,0;100;2000;3;60;5713,359;11370,126
1,0;100;2000;5;113;5366,281;11360,992
1,0;100;2000;10;168;5350,515;11367,421
10,0;1;10;3;92;5596,435;10780,647
10,0;1;10;5;142;5468,657;11410,09
10,0;1;10;10;236;5350,515;11367,421
10,0;1;100;3;96;5622,208;10838,757
10,0;1;100;5;111;5715,626;11397,801
10,0;1;100;10;145;5265,91;10977,697
10,0;1;2000;3;70;5468,657;11410,09
10,0;1;2000;5;100;5288,071;10999,858
10,0;1;2000;10;348;5382,313;11400,8
10,0;10;10;3;50;5694,74;10903,001
10,0;10;10;5;189;5468,657;11410,09
10,0;10;10;10;160;5366,281;11360,992
10,0;10;100;3;119;5683,991;10903,904
10,0;10;100;5;246;5382,313;11400,8
10,0;10;100;10;158;5366,281;11360,992
10,0;10;2000;3;122;5288,071;10999,858
10,0;10;2000;5;95;5304,863;11415,994
10,0;10;2000;10;307;5288,071;10999,858
10,0;100;10;3;96;5596,435;10780,647
10,0;100;10;5;105;5350,515;11367,421
10,0;100;10;10;171;5635,571;9845,199
10,0;100;100;3;121;5584,605;9824,011
10,0;100;100;5;146;5458,456;11350,124
10,0;100;100;10;390;5382,313;11400,8
10,0;100;2000;3;74;5596,435;10780,647
10,0;100;2000;5;84;5637,881;9866,796
10,0;100;2000;10;237;5366,281;11360,992
