procent zakazanych ruchów [%];modyfikator kadencji (1-100);aspiracja plus;aspiracja plus plus;liczba iteracji;najlepszy koszt cyklu Hamiltona;najlepszy koszt
0,1;1;10;3;214;5468,657;11410,09
0,1;1;10;5;112;5393,797;11412,283
0,1;1;10;10;232;5621,553;10832,828
0,1;1;100;3;67;5699,531;10901,188
0,1;1;100;5;107;5366,281;11360,992
0,1;1;100;10;286;5282,702;11393,833
0,1;1;2000;3;143;5382,313;11400,8
0,1;1;2000;5;207;5366,281;11360,992
0,1;1;2000;10;365;5304,863;11415,994
0,1;10;10;3;56;5393,797;11412,283
0,1;10;10;5;169;5366,281;11360,992
0,1;10;10;10;184;5596,435;10780,647
0,1;10;100;3;44;5718,757;10531,237
0,1;10;100;5;82;5468,657;11410,09
0,1;10;100;10;201;5265,91;10977,697
0,1;10;2000;3;71;5595,339;9796,783
0,1;10;2000;5;128;5699,531;10901,188
0,1;10;2000;10;243;5596,435;10780,647
0,1;100;10;3;80;5682,518;9869,489
0,1;100;10;5;106;5282,702;11393,833
0,1;100;10;10;203;5265,91;10977,697
0,1;100;100;3;71;5596,435;10780,647
0,1;100;100;5;123;5658,015;10885,828
0,1;100;100;10;310;5468,657;11410,09
0,1;100;2000;3;93;5397,866;11329,161
0,1;100;2000;5;164;5288,071;10999,858
0,1;100;2000;10;128;5438,407;11373,471
1,0;1;10;3;54;5350,515;11367,421
1,0;1;10;5;135;5726,441;10939,41
1,0;1;10;10;233;5471,819;11366,121
1,0;1;100;3;93;5554,422;11583,51
1,0;1;100;5;133;5366,281;11360,992
1,0;1;100;10;165;5350,515;11367,421
1,0;1;2000;3;64;5397,866;11329,161
1,0;1;2000;5;76;5715,626;11397,801
1,0;1;2000;10;154;5288,071;10999,858
1,0;10;10;3;158;5621,553;10832,828
1,0;10;10;5;105;5584,605;9824,011
1,0;10;10;10;311;5265,91;10977,697
1,0;10;100;3;105;5282,702;11393,833
1,0;10;100;5;77;5382,313;11400,8
1,0;10;100;10;133;5438,407;11373,471
1,0;10;2000;3;58;5621,553;10832,828
1,0;10;2000;5;166;5438,407;11373,471
1,0;10;2000;10;346;5468,657;11410,09
1,0;100;10;3;55;5282,702;11393,833
1,0;100;10;5;162;5622,208;10838,757
1,0;100;10;10;169;5458,456;11350,124
1,0;100;100;3;54;5727,378;11384,157
1,0;100;100;5;78;5863,028;10940,318
1,0;100;100;10;235;5438,407;11373,471
1,0;100;2000;3;67;5366,281;11360,992
1,0;100;2000;5;169;5366,281;11360,992
1,0;100;2000;10;155;5350,515;11367,421
10,0;1;10;3;74;5265,91;10977,697
10,0;1;10;5;97;5265,91;10977,697
10,0;1;10;10;196;5265,91;10977,697
10,0;1;100;3;78;5596,435;10780,647
10,0;1;100;5;173;5554,422;11583,51
10,0;1;100;10;256;5458,456;11350,124
10,0;1;2000;3;74;5288,071;10999,858
10,0;1;2000;5;114;5288,071;10999,858
10,0;1;2000;10;205;5350,515;11367,421
10,0;10;10;3;58;5595,339;9796,783
10,0;10;10;5;82;5350,515;11367,421
10,0;10;10;10;279;5397,866;11329,161
10,0;10;100;3;45;5663,194;11401,303
10,0;10;100;5;128;5350,515;11367,421
10,0;10;100;10;176;5468,657;11410,09
10,0;10;2000;3;56;5683,991;10903,904
10,0;10;2000;5;117;5644,352;9867,046
10,0;10;2000;10;197;5304,863;11415,994
10,0;100;10;3;60;5644,352;9867,046
10,0;100;10;5;85;5683,991;10903,904
10,0;100;10;10;235;5595,339;9796,783
10,0;100;100;3;47;5648,304;9840,642
10,0;100;100;5;143;5265,91;10977,697
10,0;100;100;10;174;5350,515;11367,421
10,0;100;2000;3;68;5644,352;9867,046
10,0;100;2000;5;151;5288,071;10999,858
10,0;100;2000;10;149;5382,313;11400,8
